,Land_Cost,Land_area,Cost_per_m2,Land_location,land_description
157,"KSh 320,000,000",0 ac,"KSh 355,555,556 / ac",Lavington,"Prime 0.9 Acres For Sale - 3KE1533813 

This stunning plot of land is located in Lavington. The land is flat, connected to the sewer and it has a solid 4 bedroom house on it.

Very ideal for re-development or for commercial purposes."
158,"KSh 250,000,000",,Null,"Hatheru, Lavington",Very prime 1.3 acres land on sewer and good shape for high rise apartments. Located in High-end apartments area. For this and more options contact Lavington Property Management
159,"KSh 180,000,000",,Null,Kileleshwa,This is half acre of land ideal for high rise apartments it's located near Kileleswa police station and kasuku center actually the land is touching the main road.
160,"KSh 110,000,000",,Null,"Westlands Area, Westlands","Nestled in the heart of the most sought-after area along Peponi Road, these two similar houses offer a rare opportunity to create your dream homes on approximately 0.5 acres of lush, prime real estate. With their incredible location, these properties are poised to become exceptional residences, perfectly blending convenience with the promise of luxurious living.

With a little vision and investment, these houses can be transformed into stunning homes. The layout and structure provide a solid foundation for a modern, luxurious design. 

Whether you envision a modern urban oasis, a traditional estate, or a combination of both, the canvas is yours to paint. 

Schedule a viewing today and seize..."
161,"KSh 120,000,000",1 ac,"KSh 96,000,000 / ac","NAIROBI DAM, Langata","- 1.25 Acre located in Nairobi Dam Estate behind Nairobi dam Estate
-Suitable for commercial or residential development
-Locate in a quiet and serien environs 
-With a ready title deed
- Surronded by developed residential flats"
162,"KSh 46,500,000",,Null,Ridgeways,"We are delighted to present a prime plot of land for sale in the highly sought-after neighborhood of Ridgeways. This plot offers an ideal location, perfect for those seeking a tranquil yet convenient living environment with proximity to essential amenities.

This plot presents a rare opportunity to acquire a well-located, regularly shaped, and flat piece of land, complete with a perimeter wall and essential services. It is an excellent choice for those looking to build their dream residential home in a serene yet convenient neighborhood. Don't miss out on this remarkable opportunity to invest in your future and secure a piece of prime real estate in Ridgeways.

To arrange a viewing, WhatsApp..."
163,Price not communicated,100 ac,Null,Mombasa Road,"Discover a remarkable parcel of land nestled in a prime location, boasting an impressive 1-kilometer frontage along Mombasa Road frontage, a borehole, a dam, and the potential for both agricultural and commercial endeavors.
This expansive property offers you the chance to unlock a world of opportunities.

Contact me now to explore this magnificent property and embark on a journey of endless possibilities!"
164,"KSh 2,000,000",5000 m²,Null,"malaa, Joska, Kamulu Joska Malaa","This is an amaizing serene residential plots for sale located in Kangundo road Joska,the plots are next to the 
Casamia estate ,the plots are subdivided into 50by 100 sizes.
starting from Ksh.2,000,000"
165,"KSh 370,000,000",,Null,Ngong Road,"The properties is touching the tarmac and it's ideal for commercial use, it's near hospitals, car yards, hotels, and a bus stop, it has old apartments that are currently used as an office and the owner is selling it at ksh370 million slightly negotiable"
166,"KSh 107,000,000",,Null,"Thigiri, Westlands","The land is touching tarmac and its only minutes away from Tuskys Mall. It is also near shopping, banking and health amenities. The infrastructure in the area is great making the land ideal for commercial or residential development.

FEATURES
Flat
Red soil
Touching tarmac
Water and Electricity in the area
Ready title deeds

QUICK SALE!!!!
Asking Price:- KES.107m
Price is negotiable"
167,"KSh 48,000,000",0 ac,"KSh 96,000,000 / ac","Off Runda Road, Runda, Westlands","A ready for development 0.5 acre residential plot:

- Gently sloping and well drained.
- Red soil which is ideal for construction. 
- The plot has several mature fruit and ornamental trees. It also has a Kei apple perimeter fence.
- Water is from Nairobi Water and water from a well.
- Electricity is connected.

It has a temporary 2 room structure made of corrugated iron sheets for the caretaker.

Located 600m from Regis School, Sabis School and Brookhouse schools.. 1 km from Wadi Degla members’ club. A few minutes drive to UNON, Village market mall and Two Rivers Mall.


This is a developing area, with controlled development for single home dwelling units each on 0.5 acre.

Access is fr..."
168,"KSh 230,000,000",0 ac,"KSh 230,000,000 / ac","Amboseli lane, Lavington","Prime 0.8 Acre Plot For Sale- Lavington

0.8-acre plot for suitable for redevelopment 

Located off Amboseli lane in Lavington

Electricity, water and sewer connected to the property 

Rectangular in shape with an old house serving as a restaurant

Price: Ksh 230M"
169,Price not communicated,19 ac,Null,"Mukoma Road, Langata","This is a rare and unique sized plot with a road frontage to Mukoma Road and Mutamaiyu Road. It has excellent development potential and is set on approx. 19.07 acres (7.72 ha).

It is ready for immediate development and comprises red soil. The land slopes on both sides toward a seasonal river at the bottom of the valley. The property has abundant mature indigenous trees with unspoilt forest and fantastic views of Ngong Hills and lends itself well to a prime residential development.

Mukoma Water Company which distributes water to the whole neighbourhood via its private borehole and mains electricity is connected to the property.

The property can be sold in smaller parcels of at least an acr..."
170,KSh 1,8094 m²,Null,"Evergreen, Kiambu Road","Located in the prime area of Kiambu Road - Evergreen
23/4 acres for sale
Ideal for residential and agricultural use
Close to the main road
Very fertile soil
Price on Application"
171,"KSh 11,000,000",0 ha,"KSh 110,000,000 / ha","Lower Kabete, Westlands","-This plot is only 1.5 km's from Kabete shopping center, 15 minutes drive to Westlands and 20 minutes drive to Nairobi cbd.

-The plot is ideal for mixed used development i.e residential home or a flat.

-The plot is flat, red soil, well drained, with nic"
172,"KSh 140,000,000",0 ac,"KSh 280,000,000 / ac","Muthangari Drive, Lavington","Features of the Plot
* It is primarily zoned as a Residential Plot
* The plot size is 0.5 acres
* The County approves construction of up to 6 townhouses on 0.5 acres land. 
* Asking price - Kshs. 140,000,000
* The plot is currently occupied, and on it stands a 7 bedrooms House done up to the first level with an option to construct additional one or two floors upstairs. 
* Water, Electricity and Sewer line are well connected on the plot
* It is available for immediate use
* There is enough car park"
173,"KSh 834,000,000",13 ac,"KSh 60,000,000 / ac","Rhino Park, Karen","Karen Land on sale
Size - 13. 79acres
Location : Karen near Resurrection gardens
RHINO PARK ROAD
Price : 60,000,000/=per acre 
Has a borehole, three quarters of it is fenced by a perimeter wall.
Title:Freehold

Red soil the whole parcel selling as a block."
174,"KSh 200,000,000",0 ac,Null,"within Westlands CBD off Parklands Road, 1026N/1124k, Parklands, Westlands","This plot is ideally situated within Westlands CBD, off Parklands Road.
 Well established commercial zone.
 It is approximately 0.3 acre plot.
 Regular shape for easier planning. 
Potential Redevelopment options:-
 High-rise residential dwelling
 Commercial development.
 Any other landed investment development
Features include:-
 Commercial zone friendly neighbourhood.
 Tarmac road.
 Sewer system.
 Electricity and water utilities on site.
Neighborhood features:-
 Notable commercial buildings. 
 Excellent schools and colleges.
 Close to hotels and restaurants. 
 Close to Shopping Malls and Markets. 
 Well-maintained neighbourhood.
 Safe and quiet streets.
 Convenient public t..."
175,"KSh 70,000,000",,Null,"Kitisuru, Westlands","0.75 Acre Land for Sale

These 4 parcels of 0.75 acres of land are in a prime location right behind ISK. It is a few minutes from shopping centers and accessible from main roads. It provides privacy and quiet serene environments for a residential property. Each 0.75 acre is listed at KES 70M."
176,"KSh 60,000,000",,Null,Kilimani,"Prime Plot for Sale

A great piece of property for redevelopment in an upcoming area within the greater Kilimani. It is a 0.32 acre in size and is 500M from Ngong Road (opposite the War Cemetery from Matatu Stage Kenol), this property is well place to accommodate a high rise apartment development. Easily accessible to schools and shopping mall like the Junction, Hub as well as Watermark.
It is connected to all mains and is rectangular in shape with no slope."
177,"KSh 130,000,000",0 ac,"KSh 175,675,676 / ac","Manyani East Road, Lavington","Approximately 0.73 acres, this property is situated off Manyani East Road in Lavington. The plot is rectangular shaped with red soil and presently has a traditional style double storey house. Connected to mains water and electricity, the site’s location and shape provide an ideal opportunity for redevelopment into multi dwelling townhouses in line with the neighborhood character subject to obtaining necessary approvals.

The property is on a leasehold of 99 years from 1 January 1971 (unexpired term of 49 years).

Viewings are strictly by appointment."
178,"KSh 6,500,000",,Null,"Kitisuru, Westlands","Prime Residential land for Sale in Mwimuto.

It is located along Kitisuru West rd off, Getathuru Rd and only 500 meters from Mwimuto shopping center. It’s a 15 minutes’ drive from Sarit center and a 30 minutes’ drive from the CBD.

The land comprises of 7 plots, subdivided into 50 by 100 plots. The land also has a 9 meters access road servicing the 7 plots. It is suitable for a gated community, but the plots can also be sold individually since each of them has an individual title deed. The plot has red soil.

The land is suitable for commercial residential development, since high-rise buildings are coming up in the area, and the rental prices are also coming up. A 1 bedroom fetches 12,000 –..."
179,"KSh 300,000,000",,Null,"Kitisuru, Westlands","Introducing an incredible opportunity to own a piece of prime real estate in one of the most sought-after areas of Nairobi. If you're looking for a joint venture and the opportunity to build your dream home, this property is the perfect place to do it.
This 3.5-acre parcel of land in Kitisuru offers a well-structured 5-bed home and a guest house, making it the perfect place.

Nestled in the lap of nature, this property is a true oasis, away from the hustle and bustle of the busy city. The tranquil surroundings offer a peaceful and serene atmosphere, making it the perfect retreat from the stresses of everyday life.
With its prime location and stunning natural surroundings, it's a rare find th..."
180,"KSh 35,000,000",1 ac,"KSh 35,000,000 / ac","Garissa Road, Thika Road","Prime commercial land available in the heart of thika town. Various parcels of Land available for sale from 1 acre to 60 acres.
1 acre going for 70,000,000 road facing and the second row going from 35,000,000."
181,"KSh 65,000,000",,Null,Thika Road,"Approx. 2.19 acres Commercial use plot for Sale along Thika – Mang’u Rd near Mpesa Foundation Academy.

This is a rapidly developing area area with the Mpesa Foundation academy, Braeburn Imani School and Albizzia Downs Estate all located nearby.

The plot benefits from:

* Road frontage
* Municipal water supply
* Connected power supply

It is a flat serviced, red soil / murram soil plot with commercial use.

The property would ideal for light industry, agricultural processing, logistics, storage or other commercial use.

To arrange a viewing, WhatsApp Meehir https://wa.me/"
182,"KSh 7,000,000",0 ac,"KSh 56,000,000 / ac","Kerarapon Drive, KERARAPON RISE, Karen",Eighth plots. Rise of kerarapon drive. Red soil and great scenery. About 3km off Ngong Road and approximately 7km from karen shopping centre. Kerarapon is one of the most sought after estates with its proximity to karen and Ngong shopping centres and the southern bypass. A few plots remaining. Kindly book an appointment with one of our agents for viewing. Thanks
183,Price not communicated,,Null,Mombasa Road,"Introducing a Spectacular Opportunity: 20 Acres of Prime Land

Discover a remarkable parcel of land nestled in a prime location, boasting an impressive 1-kilometer frontage along Mombasa Road frontage, a borehole, a dam, and the potential for both agricultural and commercial endeavors.
This expansive property offers you the chance to unlock a world of opportunities.

Contact me now to explore this magnificent property and embark on a journey of endless possibilities!"
184,"KSh 350,000,000",1 ac,"KSh 350,000,000 / ac","Rhapta Road, Westlands Area, Westlands","The following is a piece of 1-acre prime land with a bungalow on Rhapta road, Westlands. The plot is ideal for redevelopment. 

The location affords quick access to Westlands, Kileleshwa and Lavington, Parklands. 

It would also be suitable for office use for any organisation that needs to be close to their respective consulate. 

The property is in a bustling neighbourhood with successful neighbouring developments. Surrounded by major commercial office blocks, apartments, hotels, serviced apartments and mixed-use schemes, the area is in high demand. The property is therefore convenient for retailers, local and multinational offices, expatriates, investors and local house-seekers. 

The prop..."
185,"KSh 16,500,000",,Null,Kiambu Road,"Quarter Acre for Sale

This quarter-acre land is in the coveted Golden Palm Estate, Njathaini Road off Kiambu Road. prime residential 1/4 acre piece of land in a controlled gated community by the name Golden Palm, Off Kiambu Road, Njathaini Road.
It is flat with red soil, clear access roads with clear natural drainage, water, and electricity on-site, and a 24-hour security manned gate.
Already and rapidly being built up and soon it will be a complete estate.
Fully on the tarmac in a fresh and green environment
With clean documentation, a valid title without any encumbrances.
Call me to book a viewing today."
186,Price not communicated,2 ac,Null,"Old Muthaiga - Off Muthaiga Road, Muthaiga","A rare opportunity to acquire these 2 acres nestled in this great neighbourhood suited for everyone looking to build in the middle of the city yet still has the charm of privacy and spectacular city lights at night. 

Whether you are looking to build your next piece of paradise, your dream home, a contractor/builder, investing for the future, this lot checks all the boxes and has endless possibilities.

It’s waiting for the right Buyer to unlock its true potential.

Located on a gentle slope. Very secure with residences all round it.

Donned with mature trees and boasting of scenic views of the surrounding.


Get in touch with us for pricing."
187,"KSh 325,000,000",,Null,"Warai North Road, Karen","This exceptional property is situated in Miotoni, along Warai North Road and is ideal for residential development.

The plot consists of red soil and is partly sloped with most of the land being on flat terrain. It is moderately forested with mature trees, fully fenced with direct aces to the main tarmacked road and is connected to City Council water.

The property also hosts a 6-bedroom house built in 1987 and a 2-bedroom cottage"
188,"KSh 300,000,000",2 ac,Null,Karen,"Beautiful 2 acre commercial land at the heart of Karen . Is ideal , among others , for development of commercial shopping centre , hospitality industry etc . Touching two main tarmacked roads . Is going for sh 150m per acre ."
189,"KSh 600,000,000",,Null,Kilimani,"With land in Nairobi growing scarce for redevelopment we are offering this well appointed parcel in one of the most serene part of Kilimani.Its a flat and proportional parcel very ideal for development of high rise apartment,commercial or mixed development.For more information or viewing arrangement call us to today.
Price:Ksh600M
Call: 07711****"
190,"KSh 2,000,000",0 ha,"KSh 11,111,111 / ha","Malaa, Kamulu Joska Malaa","0.18 Ha piece of land up for sale in the vast growing Malaa in Kangundo, Machakos. The plot is Mukengesya, outskirts of Malaa market and has a murram access road to the land. The plot is ideal for residential development and is in a secure locale. It is off North Eastwards of Ruai-Kangundo road at Malaa Town.
The plot is up for sale at Kshs.2million."
191,Price not communicated,1 ac,Null,"Westlands Area, Westlands","Perfect property for redevelopment.

This 1.6-acre prime land on Brookside Gardens is ideally suited for redevelopments either residential or commercial. This ideal land boasts of lush greenery and it offers a great opportunity to invest in."
192,"KSh 80,000,000",1 ac,"KSh 80,000,000 / ac","kerarapon Drive, Karen","Prime one acre for sale kerarapon drive. 
Selling this residential land along kerarapon drive is suitable for a gated community or single dwelling. 
Owner selling the land and giving out approved plans to build 12 units 
Asking 80M ono"
193,"KSh 450,000",,Null,"Joska, Kamulu Joska Malaa","It's never too early to begin your investment journey, this is the perfect time!👌🏽
Get to finally realize your land ownership dream by investing in our affordable, carefully selected prime plots in Serene Gardens joska phase 3.
Turn your dream of homeownership into a reality with our value-added properties ideal for residential development.

AMENITIES
✔ Electric fence & Gate
✔ Water on site
✔ Electricity on site
✔ Ready title deeds
✔ Developed Neighborhood
✔ All-weather Roads
✔ Schools and Hospitals

SITE VISITS: Saturdays from 10:00 Am.
Meeting Point: Ruiru town, Greec towers 2nd floor
To invest in our affordable Plots
Reserve your slot for a free site visit today!
#PrimePlots #ReadyTitle..."
194,"KSh 56,000,000",0 ac,"KSh 75,675,676 / ac","Kwaheri Road, Runda, Westlands","This pristine parcel of land is located in a fast-growing part of Runda. The land is accessible via Runda Road extension and Kiambu Road on Kwaheri Road. 
It is rectangular in shape, has a flat terrain, red soil, is surrounded by a 10ft stone perimeter wall with razor wire and has two access gates.
There is drip irrigation on 1/3 acre, a 90,000 litre per day borehole and electricity already connected. It fronts the main road and is ideal for development.

Location:
Runda is a residential area that enjoys relatively good security due to the high number of diplomatic missions that have residences within the neighbourhood.
It also enjoys close proximity to the United Nations office in Nairobi,..."
195,"KSh 24,900,000",,Null,Kiambu Road,"Vacant Land for Sale in Kiambu Road

This half-acre plot is located within a serene, secure, controlled, single-dwelling, upcoming residential estate, Kivuli Greens. Its located near Kiambu Institute of Science and Technology (KIST), near Starehe Girls School on Njathaini Road off Kiambu Road.
The plot is pretty level with red soil ideal for redevelopment.
There is a high demand for residential plots in the said estate which is evident with the number of rampant residential homes coming up.

Call me today to schedule a viewing!"
196,"KSh 550,000,000",1 ac,"KSh 361,842,105 / ac","Kilimani Road, Kilimani","Located off Kilimani road, these residential apartments sit on 1.52 acres. The property is flat, has a freehold title, rectangular in shape and is connected to the main sewer. The property has a mix of 4, 3 and 2 bedroom apartments totalling to 12 apartments spread out on 2 floors. The property offers an excellent investment or for significant redevelopment into commercial offices, hotels, retail use or institutions among others subject to obtaining the necessary approvals from relevant government authorities.

The compound has parking spaces for up to 30 cars, detached designated servants quarters for each apartment, is covered with mature trees and manicured gardens. Each apartment has an..."
197,"KSh 495,000,000",9 ac,"KSh 55,000,000 / ac",Karen,"9 Acres of Re-development Land for Sale

This 9 acres parcel of land is in a very prime area in Karen fronting the main road and is quite ideal for re-development of a gated community. The soil is red in nature and the terrain is quite good.

Do give us a call for actual viewing."
198,"KSh 45,000,000",,Null,"naivasha road, Naivasha Road","1/2 acre Land parcel for sale off Naivasha road
Available for sale is this prime land off Naivasha road with the following features;-
~ 1/2 acre piece of land
~ Located about 100metres off Naivasha road.
~ The nearest landmarks include the True light Christian assembly, and Jotech business center
~ Property currently has a one storey residential development. Suitable for redevelopment/ expansion.
~ Land is serviced with, Electricity and water.
~ Freehold title"
199,"KSh 300,000,000",4 ac,"KSh 75,000,000 / ac",Karen,Very beautiful 4 acre residential land at the heart of Karen. Is a prime area ideal for residential development as it is located just less than 10 minutes drive to the main shopping malls. The soil is red. Is a well developed area. The access road is tarmacked . There are mature trees in the surrounding area. Asking price is sh 75m per acre .
200,"KSh 16,500,000",,Null,Kiambu Road,"Residential Quarter Acre Plot for Sale in Kiambu Road

This is a beautiful quarter-acre of land in the coveted Golden Palm Estate, Njathaini Road, Off Kiambu Road. The land is lush and beautifully cultivated. It could be the perfect property for your dream home or the ideal investment property.
prime residential 1/4 acre piece of land in a controlled gated community by the name Golden Palm, Off Kiambu Road, Njathaini Road.
It is flat with red soil, clear access roads with clear natural drainage, water and electricity on-site, and a 24-hour security manned gate.
Already and rapidly being built up and soon it will be a complete estate.
Fully on the tarmac in a fresh and green environment
With..."
